epoch,eval_R2,iteration,model_best_val_score,model_loss,model_val_score,step,train_R2,train_dataset_size,val_dataset_size
0.0,0.7110136151313782,0.0,1.0312824249267578,2.7132174968719482,1.0312824249267578,1,-1.8649471998214722,50.0,0.0
1.0,0.7118450999259949,0.0,1.0049318075180054,2.6194655895233154,1.0049318075180054,2,-1.6883115768432617,50.0,0.0
2.0,0.7125260233879089,0.0,0.9800722002983093,2.5340287685394287,0.9800722002983093,3,-1.5391240119934082,50.0,0.0
3.0,0.713141918182373,0.0,0.9565578103065491,2.4563169479370117,0.9565578103065491,4,-1.4163721799850464,50.0,0.0
4.0,0.7137376666069031,0.0,0.9343225359916687,2.3857524394989014,0.9343225359916687,5,-1.315085530281067,50.0,0.0
5.0,0.7143495082855225,0.0,0.9133106470108032,2.321751832962036,0.9133106470108032,6,-1.2300841808319092,50.0,0.0
6.0,0.7150030136108398,0.0,0.8934640288352966,2.263716459274292,0.8934640288352966,7,-1.1557927131652832,50.0,0.0
7.0,0.715709924697876,0.0,0.8747133612632751,2.21104097366333,0.8747133612632751,8,-1.0870317220687866,50.0,0.0
8.0,0.7164700031280518,0.0,0.8569786548614502,2.1631383895874023,0.8569786548614502,9,-1.0202789306640625,50.0,0.0
9.0,0.7172755599021912,0.0,0.8401738405227661,2.119457721710205,0.8401738405227661,10,-0.9539030194282532,50.0,0.0
0.0,0.7496514916419983,1.0,0.661466121673584,1.97996187210083,0.661466121673584,11,-0.9112494587898254,70.0,0.0
1.0,0.7501785755157471,1.0,0.6479836106300354,1.948848843574524,0.6479836106300354,12,-0.8394648432731628,70.0,0.0
2.0,0.7510037422180176,1.0,0.6343725323677063,1.9195131063461304,0.6343725323677063,13,-0.7674073576927185,70.0,0.0
3.0,0.7520833611488342,1.0,0.6207312345504761,1.8917182683944702,0.6207312345504761,14,-0.6971405148506165,70.0,0.0
4.0,0.7533804774284363,1.0,0.6071491837501526,1.8653173446655273,0.6071491837501526,15,-0.6299988627433777,70.0,0.0
5.0,0.754864513874054,1.0,0.5937003493309021,1.840215802192688,0.5937003493309021,16,-0.5668966174125671,70.0,0.0
