env_step,episode_reward,step,trial
4.0,1.0,1,1.0
8.0,2.142857142857143,2,2.0
12.0,1.0,3,3.0
16.0,1.0,4,4.0
20.0,2.333333333333333,5,5.0
24.0,1.3928571428571428,6,6.0
28.0,2.0,7,7.0
32.0,2.261904761904762,8,8.0
36.0,1.5,9,9.0
40.0,1.3666666666666667,10,10.0
44.0,1.95,11,11.0
48.0,2.166666666666667,12,12.0
52.0,2.0,13,13.0
56.0,2.0,14,14.0
60.0,2.166666666666667,15,15.0
64.0,2.2,16,16.0
68.0,2.085714285714286,17,17.0
72.0,2.142857142857143,18,18.0
76.0,2.119047619047619,19,19.0
80.0,2.2333333333333334,20,20.0
84.0,1.9428571428571428,21,21.0
88.0,2.9583333333333335,22,22.0
92.0,2.166666666666667,23,23.0
96.0,1.95,24,24.0
100.0,2.166666666666667,25,25.0
104.0,3.257142857142857,26,26.0
108.0,3.2666666666666666,27,27.0
112.0,3.1666666666666665,28,28.0
116.0,2.9333333333333336,29,29.0
120.0,3.6,30,30.0
124.0,3.6904761904761907,31,31.0
128.0,3.857142857142857,32,32.0
132.0,3.5833333333333335,33,33.0
136.0,3.5,34,34.0
140.0,3.8333333333333335,35,35.0
144.0,3.5142857142857142,36,36.0
148.0,3.625,37,37.0
152.0,3.8333333333333335,38,38.0
156.0,3.125,39,39.0
160.0,3.0833333333333335,40,40.0
164.0,3.5,41,41.0
168.0,3.857142857142857,42,42.0
172.0,4.0,43,43.0
176.0,3.888888888888889,44,44.0
180.0,3.5,45,45.0
184.0,3.25,46,46.0
188.0,3.607142857142857,47,47.0
192.0,3.3833333333333337,48,48.0
196.0,3.0,49,49.0
200.0,3.257142857142857,50,50.0
204.0,3.0833333333333335,51,51.0
208.0,3.25,52,52.0
212.0,3.8,53,53.0
216.0,3.55,54,54.0
220.0,3.571428571428571,55,55.0
224.0,3.4285714285714284,56,56.0
228.0,3.142857142857143,57,57.0
232.0,2.825,58,58.0
236.0,2.8666666666666663,59,59.0
240.0,2.916666666666667,60,60.0
244.0,3.4642857142857144,61,61.0
248.0,3.142857142857143,62,62.0
252.0,3.547619047619048,63,63.0
256.0,2.9761904761904763,64,64.0
260.0,3.5142857142857142,65,65.0
264.0,3.0,66,66.0
268.0,3.166666666666667,67,67.0
272.0,3.5142857142857142,68,68.0
276.0,3.5238095238095237,69,69.0
280.0,3.25,70,70.0
284.0,3.5,71,71.0
288.0,3.3333333333333335,72,72.0
292.0,3.5,73,73.0
296.0,3.1666666666666665,74,74.0
300.0,3.0892857142857144,75,75.0
304.0,3.6,76,76.0
308.0,3.3333333333333335,77,77.0
312.0,3.2857142857142856,78,78.0
316.0,3.8333333333333335,79,79.0
320.0,3.2,80,80.0
324.0,3.4333333333333336,81,81.0
328.0,3.3333333333333335,82,82.0
332.0,3.5833333333333335,83,83.0
336.0,3.1904761904761907,84,84.0
340.0,3.7142857142857144,85,85.0
344.0,3.25,86,86.0
348.0,3.3333333333333335,87,87.0
352.0,3.6333333333333337,88,88.0
356.0,3.4285714285714284,89,89.0
360.0,3.5,90,90.0
364.0,3.75,91,91.0
368.0,3.6,92,92.0
372.0,3.257142857142857,93,93.0
376.0,3.3476190476190477,94,94.0
380.0,3.1142857142857143,95,95.0
384.0,3.6904761904761907,96,96.0
388.0,3.5,97,97.0
392.0,3.5,98,98.0
396.0,3.357142857142857,99,99.0
400.0,3.7142857142857144,100,100.0
404.0,3.4,101,101.0
408.0,3.3142857142857145,102,102.0
412.0,3.857142857142857,103,103.0
416.0,3.4333333333333336,104,104.0
420.0,2.9226190476190474,105,105.0
424.0,3.261904761904762,106,106.0
428.0,3.15,107,107.0
432.0,3.1500000000000004,108,108.0
436.0,3.482142857142857,109,109.0
440.0,3.1785714285714284,110,110.0
444.0,3.6,111,111.0
448.0,3.5,112,112.0
452.0,3.4642857142857144,113,113.0
456.0,4.0,114,114.0
460.0,3.6571428571428575,115,115.0
464.0,3.2083333333333335,116,116.0
468.0,3.5,117,117.0
472.0,3.4,118,118.0
476.0,3.3333333333333335,119,119.0
480.0,3.7142857142857144,120,120.0
484.0,3.547619047619048,121,121.0
488.0,3.4285714285714284,122,122.0
492.0,3.875,123,123.0
496.0,3.5,124,124.0
500.0,3.571428571428571,125,125.0
504.0,3.675,126,126.0
508.0,3.0,127,127.0
512.0,3.607142857142857,128,128.0
516.0,3.011904761904762,129,129.0
520.0,3.3333333333333335,130,130.0
524.0,3.428571428571429,131,131.0
