epoch,eval_R2,iteration,model_best_val_score,model_loss,model_val_score,step,train_R2,train_dataset_size,val_dataset_size
0.0,-0.12105858325958252,0.0,0.03115827590227127,0.9391551613807678,0.03115827590227127,1,-97.03915405273438,50.0,0.0
1.0,-0.043168019503355026,0.0,0.03013119101524353,0.9133394360542297,0.03013119101524353,2,-87.59680938720703,50.0,0.0
2.0,0.023827293887734413,0.0,0.029271507635712624,0.888210117816925,0.029271507635712624,3,-79.04108428955078,50.0,0.0
3.0,0.08194997161626816,0.0,0.028543777763843536,0.8636953830718994,0.028543777763843536,4,-71.35009002685547,50.0,0.0
4.0,0.1332324594259262,0.0,0.027913911268115044,0.8397085666656494,0.027913911268115044,5,-64.48865509033203,50.0,0.0
5.0,0.17938537895679474,0.0,0.02735249139368534,0.8161483407020569,0.02735249139368534,6,-58.39463806152344,50.0,0.0
6.0,0.221666619181633,0.0,0.026837771758437157,0.7929090857505798,0.026837771758437157,7,-52.98186111450195,50.0,0.0
7.0,0.2609820067882538,0.0,0.026354964822530746,0.7698926329612732,0.026354964822530746,8,-48.14816665649414,50.0,0.0
8.0,0.2979699373245239,0.0,0.025894740596413612,0.7470173835754395,0.025894740596413612,9,-43.79933547973633,50.0,0.0
9.0,0.3330642282962799,0.0,0.02545117400586605,0.7242234349250793,0.02545117400586605,10,-39.864418029785156,50.0,0.0
0.0,0.43608227372169495,1.0,0.0217071995139122,0.6833481788635254,0.0217071995139122,11,-49.13325881958008,70.0,0.0
1.0,0.4627034366130829,1.0,0.0217071995139122,0.6610836982727051,0.021557364612817764,12,-44.922664642333984,70.0,0.0
2.0,0.48810526728630066,1.0,0.021405233070254326,0.6387574076652527,0.021405233070254326,13,-41.00777053833008,70.0,0.0
3.0,0.5122529864311218,1.0,0.021405233070254326,0.6163661479949951,0.021252628415822983,14,-37.384090423583984,70.0,0.0
4.0,0.5351044535636902,1.0,0.021101152524352074,0.5939139723777771,0.021101152524352074,15,-34.049774169921875,70.0,0.0
5.0,0.5566304922103882,1.0,0.021101152524352074,0.571409285068512,0.020952733233571053,16,-31.000808715820312,70.0,0.0
6.0,0.5767912268638611,1.0,0.020809700712561607,0.5488645434379578,0.020809700712561607,17,-28.2301082611084,70.0,0.0
