epoch,eval_R2,iteration,model_best_val_score,model_loss,model_val_score,step,train_R2,train_dataset_size,val_dataset_size
0.0,-0.5682729482650757,0.0,0.03274016082286835,0.9390016198158264,0.03274016082286835,1,-91.5842514038086,50.0,0.0
1.0,-0.4881836473941803,0.0,0.03189941123127937,0.9134034514427185,0.03189941123127937,2,-81.4129409790039,50.0,0.0
2.0,-0.41963228583335876,0.0,0.031209243461489677,0.8884706497192383,0.031209243461489677,3,-72.43446350097656,50.0,0.0
3.0,-0.36101034283638,0.0,0.030642244964838028,0.8641231656074524,0.030642244964838028,4,-64.47506713867188,50.0,0.0
4.0,-0.31059396266937256,0.0,0.030174268409609795,0.8402823805809021,0.030174268409609795,5,-57.461334228515625,50.0,0.0
5.0,-0.26649609208106995,0.0,0.029779601842164993,0.816870927810669,0.029779601842164993,6,-51.32301330566406,50.0,0.0
6.0,-0.22685587406158447,0.0,0.029433155432343483,0.7938079237937927,0.029433155432343483,7,-45.984928131103516,50.0,0.0
7.0,-0.1902027130126953,0.0,0.029115546494722366,0.7710111737251282,0.029115546494722366,8,-41.36248779296875,50.0,0.0
8.0,-0.15555892884731293,0.0,0.02881467528641224,0.7484045028686523,0.02881467528641224,9,-37.36004638671875,50.0,0.0
9.0,-0.1222812831401825,0.0,0.028523782268166542,0.725925624370575,0.028523782268166542,10,-33.878780364990234,50.0,0.0
0.0,-0.01973683573305607,1.0,0.026832643896341324,0.6841778755187988,0.026832643896341324,11,-40.86771011352539,70.0,0.0
1.0,0.0015811821212992072,1.0,0.026832643896341324,0.6625253558158875,0.02683950401842594,12,-37.393028259277344,70.0,0.0
2.0,0.023095151409506798,1.0,0.026832643896341324,0.6408712267875671,0.02682759240269661,13,-34.30427932739258,70.0,0.0
3.0,0.04464278742671013,1.0,0.026832643896341324,0.6191887259483337,0.026797302067279816,14,-31.527803421020508,70.0,0.0
4.0,0.06593108922243118,1.0,0.026832643896341324,0.5974600911140442,0.026750551536679268,15,-29.006227493286133,70.0,0.0
5.0,0.08659228682518005,1.0,0.026832643896341324,0.575675904750824,0.026690898463129997,16,-26.693761825561523,70.0,0.0
6.0,0.10621059685945511,1.0,0.026832643896341324,0.5538343191146851,0.026623308658599854,17,-24.55769157409668,70.0,0.0
7.0,0.12435673922300339,1.0,0.026553785428404808,0.5319427847862244,0.026553785428404808,18,-22.583677291870117,70.0,0.0
8.0,0.1406702995300293,1.0,0.026553785428404808,0.510016679763794,0.026488207280635834,19,-20.771577835083008,70.0,0.0
9.0,0.15496765077114105,1.0,0.026553785428404808,0.4880755841732025,0.026431024074554443,20,-19.126001358032227,70.0,0.0
0.0,0.20210759341716766,2.0,0.025271618738770485,0.5018240809440613,0.025271618738770485,21,-23.984079360961914,90.0,0.0
1.0,0.21492557227611542,2.0,0.025271618738770485,0.47979965806007385,0.02521488070487976,22,-22.2680606842041,90.0,0.0
2.0,0.22626014053821564,2.0,0.025271618738770485,0.4576815068721771,0.02515219897031784,23,-20.714509963989258,90.0,0.0
3.0,0.23599481582641602,2.0,0.025271618738770485,0.43552064895629883,0.025090711191296577,24,-19.326196670532227,90.0,0.0
4.0,0.2442084699869156,2.0,0.025271618738770485,0.4133583605289459,0.025034930557012558,25,-18.106630325317383,90.0,0.0
5.0,0.2510347366333008,2.0,0.024987686425447464,0.3912270963191986,0.024987686425447464,26,-17.058530807495117,90.0,0.0
6.0,0.25661373138427734,2.0,0.024987686425447464,0.36915478110313416,0.024950513616204262,27,-16.185131072998047,90.0,0.0
7.0,0.2611408531665802,2.0,0.024987686425447464,0.3471643924713135,0.024923410266637802,28,-15.480668067932129,90.0,0.0
8.0,0.2648664712905884,2.0,0.024987686425447464,0.32526805996894836,0.024905048310756683,29,-14.922858238220215,90.0,0.0
9.0,0.26796430349349976,2.0,0.024987686425447464,0.30346429347991943,0.02489396557211876,30,-14.473092079162598,90.0,0.0
0.0,0.35131189227104187,3.0,0.02510649338364601,0.36357495188713074,0.02510649338364601,31,-18.692203521728516,110.0,0.0
1.0,0.35416463017463684,3.0,0.02510649338364601,0.3417706787586212,0.02505539171397686,32,-18.013277053833008,110.0,0.0
2.0,0.35648906230926514,3.0,0.02510649338364601,0.3199494779109955,0.024985989555716515,33,-17.42483901977539,110.0,0.0
3.0,0.35822877287864685,3.0,0.02510649338364601,0.2981421649456024,0.024902649223804474,34,-16.911399841308594,110.0,0.0
4.0,0.35942673683166504,3.0,0.024807682260870934,0.27636849880218506,0.024807682260870934,35,-16.454259872436523,110.0,0.0
5.0,0.3601755201816559,3.0,0.024807682260870934,0.25463905930519104,0.024701815098524094,36,-16.033143997192383,110.0,0.0
6.0,0.36056017875671387,3.0,0.024807682260870934,0.23295922577381134,0.0245848186314106,37,-15.630660057067871,110.0,0.0
7.0,0.36066892743110657,3.0,0.02445559948682785,0.21133434772491455,0.02445559948682785,38,-15.23537826538086,110.0,0.0
8.0,0.3606255054473877,3.0,0.02445559948682785,0.18977010250091553,0.0243117306381464,39,-14.841133117675781,110.0,0.0
9.0,0.3605700433254242,3.0,0.02414940483868122,0.16826923191547394,0.02414940483868122,40,-14.445063591003418,110.0,0.0
0.0,0.35984325408935547,4.0,0.02317856438457966,0.1396787017583847,0.02317856438457966,41,-16.089460372924805,130.0,0.0
1.0,0.36060258746147156,4.0,0.02292107790708542,0.11824143677949905,0.02292107790708542,42,-15.608569145202637,130.0,0.0
2.0,0.36185789108276367,4.0,0.022611666470766068,0.0967877134680748,0.022611666470766068,43,-15.137909889221191,130.0,0.0
