env_step,episode_reward,step,trial
4.0,1.2736842105263158,1,1.0
8.0,1.0774825174825176,2,2.0
12.0,0.8917748917748918,3,3.0
16.0,1.125,4,4.0
20.0,0.875,5,5.0
24.0,0.8148148148148148,6,6.0
28.0,0.8076923076923077,7,7.0
32.0,1.0,8,8.0
36.0,0.8493589743589743,9,9.0
40.0,0.6875,10,10.0
44.0,1.4230769230769231,11,11.0
48.0,2.0598290598290596,12,12.0
52.0,1.3761904761904762,13,13.0
56.0,1.2757575757575759,14,14.0
60.0,1.2545454545454546,15,15.0
64.0,0.6590909090909092,16,16.0
68.0,0.7445054945054945,17,17.0
72.0,1.0378787878787878,18,18.0
76.0,0.8,19,19.0
80.0,0.17424242424242425,20,20.0
84.0,0.9916666666666667,21,21.0
88.0,0.5928571428571429,22,22.0
92.0,0.9136363636363637,23,23.0
96.0,0.9864935064935064,24,24.0
100.0,0.9702239789196312,25,25.0
104.0,1.1126373626373627,26,26.0
108.0,0.5425925925925925,27,27.0
112.0,0.33838383838383834,28,28.0
116.0,1.1994301994301995,29,29.0
120.0,1.1150793650793651,30,30.0
124.0,1.0634920634920635,31,31.0
128.0,1.0277777777777777,32,32.0
132.0,0.9384057971014492,33,33.0
136.0,0.8357142857142857,34,34.0
140.0,0.7992424242424243,35,35.0
144.0,1.5357142857142856,36,36.0
148.0,1.3333333333333335,37,37.0
152.0,1.5156695156695157,38,38.0
156.0,1.425101214574899,39,39.0
160.0,1.34,40,40.0
164.0,1.5535714285714286,41,41.0
168.0,1.2,42,42.0
172.0,1.3,43,43.0
176.0,1.3714285714285714,44,44.0
180.0,1.559090909090909,45,45.0
184.0,2.1818181818181817,46,46.0
188.0,0.9,47,47.0
192.0,2.286363636363636,48,48.0
196.0,0.8666666666666667,49,49.0
200.0,1.6888888888888889,50,50.0
204.0,1.8951000690131123,51,51.0
208.0,2.0528846153846154,52,52.0
212.0,1.8227424749163879,53,53.0
216.0,1.880952380952381,54,54.0
220.0,1.795238095238095,55,55.0
224.0,1.9682539682539684,56,56.0
228.0,1.687878787878788,57,57.0
232.0,2.595959595959596,58,58.0
236.0,2.3879598662207355,59,59.0
240.0,2.1731182795698922,60,60.0
244.0,2.158102766798419,61,61.0
248.0,2.1495238095238096,62,62.0
252.0,2.112727272727273,63,63.0
256.0,2.4749163879598663,64,64.0
260.0,1.9951923076923075,65,65.0
264.0,3.32736013986014,66,66.0
268.0,2.0091237451918564,67,67.0
272.0,2.8636363636363638,68,68.0
276.0,2.0342105263157895,69,69.0
280.0,2.6,70,70.0
284.0,1.4602272727272727,71,71.0
288.0,2.095085860431129,72,72.0
292.0,2.286860965121835,73,73.0
296.0,2.8875,74,74.0
300.0,2.3779602750190985,75,75.0
304.0,2.2713675213675213,76,76.0
308.0,2.1384615384615384,77,77.0
312.0,2.2674242424242426,78,78.0
316.0,3.0484973963234836,79,79.0
320.0,2.1503759398496243,80,80.0
324.0,2.3667665667665667,81,81.0
328.0,2.715880893300248,82,82.0
332.0,2.9943977591036415,83,83.0
336.0,2.41301247771836,84,84.0
340.0,2.9072039072039075,85,85.0
344.0,2.684848484848485,86,86.0
348.0,2.3766433566433567,87,87.0
352.0,3.4047619047619047,88,88.0
356.0,2.4283625730994154,89,89.0
360.0,1.994760657299357,90,90.0
364.0,3.1052380952380956,91,91.0
368.0,3.2586580086580086,92,92.0
372.0,2.9588744588744587,93,93.0
376.0,2.598550724637681,94,94.0
380.0,1.9488413547237078,95,95.0
384.0,2.3018939393939393,96,96.0
388.0,2.85,97,97.0
392.0,2.6145706145706145,98,98.0
396.0,3.0446153846153847,99,99.0
400.0,2.9489459815546772,100,100.0
404.0,2.106832298136646,101,101.0
408.0,2.8009768009768012,102,102.0
412.0,2.190058479532164,103,103.0
416.0,2.08134065423068,104,104.0
420.0,1.7580952380952382,105,105.0
424.0,2.469027269027269,106,106.0
428.0,1.9532279314888008,107,107.0
432.0,1.9625506072874495,108,108.0
436.0,2.563636363636364,109,109.0
440.0,2.1600706057227796,110,110.0
444.0,2.036075036075036,111,111.0
448.0,2.936297036297036,112,112.0
452.0,2.7166666666666672,113,113.0
456.0,2.6255665902724723,114,114.0
460.0,2.500148544266191,115,115.0
