env_step,episode_reward,step,trial
4.0,0.9578947368421052,1,1.0
8.0,0.8402797202797203,2,2.0
12.0,1.0337662337662337,3,3.0
16.0,1.0416666666666667,4,4.0
20.0,1.1025641025641026,5,5.0
24.0,0.8148148148148148,6,6.0
28.0,0.7863247863247864,7,7.0
32.0,1.0476190476190477,8,8.0
36.0,0.9326923076923077,9,9.0
40.0,0.7375,10,10.0
44.0,1.2564102564102564,11,11.0
48.0,1.4487179487179487,12,12.0
52.0,1.6555555555555554,13,13.0
56.0,1.1757575757575758,14,14.0
60.0,1.621212121212121,15,15.0
64.0,1.0367965367965368,16,16.0
68.0,0.2582417582417582,17,17.0
72.0,0.5492424242424243,18,18.0
76.0,1.4013986013986015,19,19.0
80.0,0.9504662004662006,20,20.0
84.0,1.0333333333333334,21,21.0
88.0,1.3214285714285714,22,22.0
92.0,0.7272727272727273,23,23.0
96.0,0.9610389610389611,24,24.0
100.0,1.0424242424242425,25,25.0
104.0,0.8928571428571429,26,26.0
108.0,1.1074074074074074,27,27.0
112.0,1.515151515151515,28,28.0
116.0,1.704059829059829,29,29.0
120.0,1.375,30,30.0
124.0,1.0158730158730158,31,31.0
128.0,2.0972222222222223,32,32.0
132.0,1.818840579710145,33,33.0
136.0,1.6410714285714285,34,34.0
140.0,1.496212121212121,35,35.0
144.0,2.4087301587301586,36,36.0
148.0,2.0106060606060607,37,37.0
152.0,2.2592592592592595,38,38.0
156.0,2.54066985645933,39,39.0
160.0,2.52,40,40.0
164.0,2.5663919413919416,41,41.0
168.0,2.7125,42,42.0
172.0,2.45,43,43.0
176.0,2.75,44,44.0
180.0,2.6363636363636367,45,45.0
184.0,2.0984848484848486,46,46.0
188.0,2.4791666666666665,47,47.0
192.0,2.6272727272727274,48,48.0
196.0,2.2625,49,49.0
200.0,2.5555555555555554,50,50.0
204.0,2.3143547273982055,51,51.0
208.0,2.2408216783216783,52,52.0
212.0,2.3046265328874025,53,53.0
216.0,2.4761904761904763,54,54.0
220.0,2.669047619047619,55,55.0
224.0,2.8055555555555554,56,56.0
228.0,2.2265151515151516,57,57.0
232.0,2.3762626262626263,58,58.0
236.0,1.8145332927941624,59,59.0
240.0,2.4086021505376345,60,60.0
244.0,2.6442687747035576,61,61.0
248.0,2.482857142857143,62,62.0
252.0,2.4072727272727272,63,63.0
256.0,2.648829431438127,64,64.0
260.0,2.2259615384615383,65,65.0
264.0,2.5104895104895104,66,66.0
268.0,2.909090909090909,67,67.0
272.0,2.8181818181818183,68,68.0
276.0,2.1875,69,69.0
280.0,2.75,70,70.0
284.0,2.0386363636363636,71,71.0
288.0,2.233649981731823,72,72.0
292.0,2.3749163879598663,73,73.0
296.0,2.4583333333333335,74,74.0
300.0,2.0681818181818183,75,75.0
304.0,2.564102564102564,76,76.0
308.0,2.6545454545454543,77,77.0
312.0,2.284090909090909,78,78.0
316.0,2.5968379446640317,79,79.0
320.0,2.5396825396825395,80,80.0
324.0,2.3156843156843157,81,81.0
328.0,2.2853598014888337,82,82.0
332.0,2.5238095238095237,83,83.0
336.0,2.2818181818181817,84,84.0
340.0,2.3278388278388276,85,85.0
344.0,2.616161616161616,86,86.0
348.0,2.1856818181818185,87,87.0
352.0,2.9047619047619047,88,88.0
356.0,2.672514619883041,89,89.0
360.0,2.431848852901484,90,90.0
364.0,2.4819047619047616,91,91.0
368.0,2.5844155844155843,92,92.0
372.0,2.4785714285714286,93,93.0
376.0,2.4094202898550723,94,94.0
380.0,2.632620320855615,95,95.0
384.0,2.3693181818181817,96,96.0
388.0,2.4333333333333336,97,97.0
392.0,2.43019943019943,98,98.0
396.0,2.309230769230769,99,99.0
400.0,2.7312252964426875,100,100.0
404.0,2.5956521739130434,101,101.0
408.0,2.302197802197802,102,102.0
412.0,2.343984962406015,103,103.0
416.0,2.5746606334841626,104,104.0
420.0,2.3088888888888888,105,105.0
424.0,2.213268213268213,106,106.0
428.0,2.4635046113306984,107,107.0
432.0,2.379217273954116,108,108.0
436.0,2.716666666666667,109,109.0
440.0,2.3879598662207355,110,110.0
444.0,2.420634920634921,111,111.0
448.0,2.6095238095238096,112,112.0
452.0,2.51,113,113.0
456.0,2.557142857142857,114,114.0
460.0,2.707070707070707,115,115.0
464.0,2.4195804195804196,116,116.0
468.0,2.4015151515151514,117,117.0
472.0,2.7593582887700534,118,118.0
476.0,2.5,119,119.0
