epoch,eval_R2,iteration,model_best_val_score,model_loss,model_val_score,step,train_R2,train_dataset_size,val_dataset_size
0.0,-0.3538910448551178,0.0,0.029620790854096413,0.9312140345573425,0.029620790854096413,1,-139.57508850097656,50.0,0.0
1.0,-0.26036879420280457,0.0,0.028896749019622803,0.9060702323913574,0.028896749019622803,2,-126.32169342041016,50.0,0.0
2.0,-0.18159671127796173,0.0,0.028310317546129227,0.8815240859985352,0.028310317546129227,3,-114.14419555664062,50.0,0.0
3.0,-0.11370691657066345,0.0,0.027808863669633865,0.8575108051300049,0.027808863669633865,4,-103.09200286865234,50.0,0.0
4.0,-0.05408719182014465,0.0,0.027367867529392242,0.8339464068412781,0.027367867529392242,5,-93.15982818603516,50.0,0.0
5.0,-0.0007857779855839908,0.0,0.0269760899245739,0.8107514977455139,0.0269760899245739,6,-84.3022689819336,50.0,0.0
6.0,0.04785351827740669,0.0,0.026622582226991653,0.787857711315155,0.026622582226991653,7,-76.44828033447266,50.0,0.0
7.0,0.09307675808668137,0.0,0.02629724144935608,0.7651988863945007,0.02629724144935608,8,-69.49640655517578,50.0,0.0
8.0,0.13575276732444763,0.0,0.025991598144173622,0.74271160364151,0.025991598144173622,9,-63.32243728637695,50.0,0.0
9.0,0.1764850616455078,0.0,0.025698844343423843,0.7203378677368164,0.025698844343423843,10,-57.8008918762207,50.0,0.0
0.0,0.3593531548976898,1.0,0.02383105456829071,0.6839322447776794,0.02383105456829071,11,-61.8192253112793,70.0,0.0
1.0,0.38816478848457336,1.0,0.02383105456829071,0.6622586250305176,0.023738713935017586,12,-56.58546829223633,70.0,0.0
2.0,0.4156401455402374,1.0,0.02383105456829071,0.6404848098754883,0.02362309955060482,13,-52.00746154785156,70.0,0.0
3.0,0.4417370855808258,1.0,0.023490173742175102,0.6186150312423706,0.023490173742175102,14,-48.005062103271484,70.0,0.0
4.0,0.4664289653301239,1.0,0.023490173742175102,0.5966542959213257,0.02334412932395935,15,-44.505035400390625,70.0,0.0
5.0,0.48968449234962463,1.0,0.023188671097159386,0.5746049284934998,0.023188671097159386,16,-41.43859100341797,70.0,0.0
6.0,0.5114171504974365,1.0,0.023188671097159386,0.5524682998657227,0.023028260096907616,17,-38.74003601074219,70.0,0.0
7.0,0.5314913392066956,1.0,0.022868076339364052,0.5302496552467346,0.022868076339364052,18,-36.348697662353516,70.0,0.0
8.0,0.5497639179229736,1.0,0.022868076339364052,0.5079599022865295,0.02271324396133423,19,-34.212989807128906,70.0,0.0
9.0,0.5661301016807556,1.0,0.0225678738206625,0.485614150762558,0.0225678738206625,20,-32.29230880737305,70.0,0.0
0.0,0.6477246880531311,2.0,0.021408699452877045,0.4519864022731781,0.021408699452877045,21,-14.245659828186035,90.0,0.0
1.0,0.6565284132957458,2.0,0.021408699452877045,0.42974767088890076,0.0213178638368845,22,-13.443860054016113,90.0,0.0
2.0,0.6644527316093445,2.0,0.021408699452877045,0.4074709117412567,0.021227708086371422,23,-12.67240047454834,90.0,0.0
3.0,0.671635627746582,2.0,0.021140478551387787,0.3851730525493622,0.021140478551387787,24,-11.933062553405762,90.0,0.0
4.0,0.6781849265098572,2.0,0.021140478551387787,0.3628707826137543,0.021057577803730965,25,-11.230381965637207,90.0,0.0
5.0,0.6841914653778076,2.0,0.021140478551387787,0.3405810296535492,0.020979365333914757,26,-10.568598747253418,90.0,0.0
6.0,0.68976229429245,2.0,0.02090439386665821,0.31831634044647217,0.02090439386665821,27,-9.94915771484375,90.0,0.0
7.0,0.6950269341468811,2.0,0.02090439386665821,0.2960800230503082,0.020829519256949425,28,-9.369643211364746,90.0,0.0
8.0,0.7000851631164551,2.0,0.02090439386665821,0.27386313676834106,0.02075110748410225,29,-8.82426929473877,90.0,0.0
9.0,0.7049462795257568,2.0,0.020666511729359627,0.2516506314277649,0.020666511729359627,30,-8.306780815124512,90.0,0.0
0.0,0.7166457176208496,3.0,0.020633229985833168,0.22189442813396454,0.020633229985833168,31,-6.352330684661865,110.0,0.0
1.0,0.7189750075340271,3.0,0.020633229985833168,0.19978302717208862,0.020536065101623535,32,-5.874631404876709,110.0,0.0
2.0,0.7210182547569275,3.0,0.020420366898179054,0.1776672750711441,0.020420366898179054,33,-5.43518590927124,110.0,0.0
3.0,0.7227325439453125,3.0,0.020420366898179054,0.15555524826049805,0.020283551886677742,34,-5.034940242767334,110.0,0.0
4.0,0.7241184115409851,3.0,0.020121857523918152,0.13345396518707275,0.020121857523918152,35,-4.674619674682617,110.0,0.0
