epoch,eval_R2,iteration,model_best_val_score,model_loss,model_val_score,step,train_R2,train_dataset_size,val_dataset_size
7.0,-0.08053089678287506,4.0,0.0023641411680728197,-0.25851601362228394,0.0023641411680728197,48,-45.64305877685547,130.0,0.0
8.0,0.003682965412735939,4.0,0.0022677399683743715,-0.28559669852256775,0.0022677399683743715,49,-43.167816162109375,130.0,0.0
9.0,0.07205197215080261,4.0,0.002185867400839925,-0.3126274645328522,0.002185867400839925,50,-41.0999641418457,130.0,0.0
0.0,-0.22899100184440613,5.0,0.0030990999657660723,-0.333538681268692,0.0030990999657660723,51,-46.43928909301758,150.0,0.0
1.0,-0.10832561552524567,5.0,0.00295523414388299,-0.36083945631980896,0.00295523414388299,52,-44.882205963134766,150.0,0.0
2.0,-0.01195833832025528,5.0,0.0028357477858662605,-0.3882313370704651,0.0028357477858662605,53,-43.59211730957031,150.0,0.0
3.0,0.059457335621118546,5.0,0.002744857221841812,-0.41535499691963196,0.002744857221841812,54,-42.577606201171875,150.0,0.0
4.0,0.11696547269821167,5.0,0.002672625007107854,-0.4421156942844391,0.002672625007107854,55,-41.74445343017578,150.0,0.0
5.0,0.16893428564071655,5.0,0.002609152114018798,-0.46865957975387573,0.002609152114018798,56,-40.940216064453125,150.0,0.0
6.0,0.21643370389938354,5.0,0.002551291137933731,-0.495155930519104,0.002551291137933731,57,-40.04977798461914,150.0,0.0
7.0,0.25592485070228577,5.0,0.0025011987891048193,-0.5216565728187561,0.0025011987891048193,58,-39.04468536376953,150.0,0.0
8.0,0.28426510095596313,5.0,0.00246155122295022,-0.5480988025665283,0.00246155122295022,59,-37.959991455078125,150.0,0.0
9.0,0.3029635548591614,5.0,0.002432262757793069,-0.5743941068649292,0.002432262757793069,60,-36.833351135253906,150.0,0.0
0.0,0.30455243587493896,6.0,0.002874046564102173,-0.5971899628639221,0.002874046564102173,61,-39.431514739990234,170.0,0.0
1.0,0.33214619755744934,6.0,0.002842215821146965,-0.6233565807342529,0.002842215821146965,62,-37.92123031616211,170.0,0.0
2.0,0.35640794038772583,6.0,0.002842215821146965,-0.6494288444519043,0.0028184871189296246,63,-36.37970733642578,170.0,0.0
3.0,0.3738049566745758,6.0,0.002802925417199731,-0.6752599477767944,0.002802925417199731,64,-34.77467727661133,170.0,0.0
4.0,0.3843061923980713,6.0,0.002802925417199731,-0.7008363008499146,0.0027924473397433758,65,-33.07404708862305,170.0,0.0
5.0,0.3911556005477905,6.0,0.002802925417199731,-0.7262595295906067,0.002783779054880142,66,-31.27713966369629,170.0,0.0
6.0,0.39824771881103516,6.0,0.002802925417199731,-0.7516363859176636,0.0027749422006309032,67,-29.413894653320312,170.0,0.0
7.0,0.40713033080101013,6.0,0.002765560755506158,-0.7770187854766846,0.002765560755506158,68,-27.516653060913086,170.0,0.0
8.0,0.41628479957580566,6.0,0.002765560755506158,-0.8024016618728638,0.00275697885081172,69,-25.599592208862305,170.0,0.0
9.0,0.42331555485725403,6.0,0.002765560755506158,-0.8277194499969482,0.0027510912623256445,70,-23.667125701904297,170.0,0.0
0.0,0.4629763662815094,7.0,0.0025718696415424347,-0.803425669670105,0.0025718696415424347,71,-28.514930725097656,190.0,0.0
1.0,0.4690732955932617,7.0,0.0025718696415424347,-0.8294294476509094,0.0025601107627153397,72,-25.940052032470703,190.0,0.0
2.0,0.46604183316230774,7.0,0.0025718696415424347,-0.8547018766403198,0.0025561314541846514,73,-23.560680389404297,190.0,0.0
3.0,0.46483415365219116,7.0,0.0025718696415424347,-0.8795252442359924,0.0025503733195364475,74,-21.340221405029297,190.0,0.0
4.0,0.46673092246055603,7.0,0.002541834255680442,-0.9044274687767029,0.002541834255680442,75,-19.194581985473633,190.0,0.0
5.0,0.46905598044395447,7.0,0.002541834255680442,-0.9293792247772217,0.0025319471023976803,76,-17.17465591430664,190.0,0.0
6.0,0.4716040790081024,7.0,0.002541834255680442,-0.9542192816734314,0.0025201239623129368,77,-15.349359512329102,190.0,0.0
7.0,0.4742553234100342,7.0,0.002507618861272931,-0.979032039642334,0.002507618861272931,78,-13.716153144836426,190.0,0.0
8.0,0.47638407349586487,7.0,0.002507618861272931,-1.0037778615951538,0.0024963158648461103,79,-12.25586986541748,190.0,0.0
9.0,0.47872740030288696,7.0,0.002507618861272931,-1.0282907485961914,0.00248574186116457,80,-10.939772605895996,190.0,0.0
0.0,0.43555569648742676,8.0,0.002792259445413947,-0.9976149797439575,0.002792259445413947,81,-10.080836296081543,210.0,0.0
1.0,0.4452142119407654,8.0,0.002753756707534194,-1.0233148336410522,0.002753756707534194,82,-8.945937156677246,210.0,0.0
2.0,0.44655269384384155,8.0,0.002724497113376856,-1.0482709407806396,0.002724497113376856,83,-8.01899528503418,210.0,0.0
