env_step,episode_reward,step,trial
4.0,1.0736842105263158,1,1.0
8.0,0.8436363636363636,2,2.0
12.0,0.8917748917748918,3,3.0
16.0,0.75,4,4.0
20.0,0.7916666666666667,5,5.0
24.0,0.037037037037037035,6,6.0
28.0,0.0,7,7.0
32.0,0.0,8,8.0
36.0,0.08333333333333333,9,9.0
40.0,0.0,10,10.0
44.0,0.07692307692307693,11,11.0
48.0,0.11538461538461539,12,12.0
52.0,0.0,13,13.0
56.0,0.0,14,14.0
60.0,0.0,15,15.0
64.0,0.2976190476190476,16,16.0
68.0,0.5384615384615384,17,17.0
72.0,1.1044372294372296,18,18.0
76.0,0.5920132499079866,19,19.0
80.0,0.2537878787878788,20,20.0
84.0,1.575,21,21.0
88.0,1.7142857142857144,22,22.0
92.0,1.7424242424242424,23,23.0
96.0,1.762857142857143,24,24.0
100.0,1.7536231884057971,25,25.0
104.0,2.500323206205559,26,26.0
108.0,2.401851851851852,27,27.0
112.0,2.3515151515151516,28,28.0
116.0,1.7952279202279202,29,29.0
120.0,0.8075396825396826,30,30.0
124.0,0.0625,31,31.0
128.0,0.06666666666666667,32,32.0
132.0,0.0,33,33.0
136.0,0.26050420168067223,34,34.0
140.0,0.0,35,35.0
144.0,2.0595238095238093,36,36.0
148.0,1.4924242424242427,37,37.0
152.0,1.2635327635327636,38,38.0
156.0,1.0783584836216413,39,39.0
160.0,1.8266666666666667,40,40.0
164.0,2.6589743589743593,41,41.0
168.0,2.5884615384615386,42,42.0
172.0,1.6333333333333335,43,43.0
176.0,1.7833333333333334,44,44.0
180.0,1.7295454545454545,45,45.0
184.0,1.6142191142191145,46,46.0
188.0,0.8708333333333333,47,47.0
192.0,1.2292929292929293,48,48.0
196.0,1.6767543859649123,49,49.0
200.0,1.5991161616161615,50,50.0
204.0,2.9347826086956523,51,51.0
208.0,2.547348484848485,52,52.0
212.0,2.664901523597176,53,53.0
216.0,2.4796918767507004,54,54.0
220.0,1.7104010025062657,55,55.0
224.0,1.9216853408029877,56,56.0
228.0,2.4109848484848486,57,57.0
232.0,2.5445241892610313,58,58.0
236.0,2.1480693219823657,59,59.0
240.0,2.035135989879823,60,60.0
244.0,2.8853754940711465,61,61.0
248.0,2.8287394957983194,62,62.0
252.0,2.9610695187165774,63,63.0
256.0,2.124977996831544,64,64.0
260.0,2.9009615384615386,65,65.0
264.0,2.703234265734266,66,66.0
268.0,2.987334646777371,67,67.0
272.0,2.965909090909091,68,68.0
276.0,2.408552631578947,69,69.0
280.0,2.75,70,70.0
284.0,1.9090909090909092,71,71.0
288.0,2.4945423821702595,72,72.0
292.0,2.5485109093804748,73,73.0
296.0,1.3791666666666667,74,74.0
300.0,2.6755793226381464,75,75.0
304.0,2.794871794871795,76,76.0
308.0,2.0965034965034963,77,77.0
312.0,2.500757575757576,78,78.0
316.0,2.970355731225297,79,79.0
320.0,1.7059314954051796,80,80.0
324.0,2.005794205794206,81,81.0
328.0,2.586848635235732,82,82.0
332.0,2.6253501400560224,83,83.0
336.0,1.3766488413547238,84,84.0
340.0,2.0897435897435894,85,85.0
344.0,3.018181818181818,86,86.0
348.0,2.3766433566433567,87,87.0
352.0,2.0238095238095237,88,88.0
356.0,2.026315789473684,89,89.0
360.0,2.071683734222434,90,90.0
364.0,1.4323809523809525,91,91.0
368.0,2.8820346320346317,92,92.0
372.0,2.751731601731602,93,93.0
376.0,2.515217391304348,94,94.0
380.0,2.2215686274509805,95,95.0
384.0,2.4212121212121214,96,96.0
388.0,2.1444444444444444,97,97.0
392.0,2.131054131054131,98,98.0
396.0,2.6046153846153848,99,99.0
400.0,2.8794466403162056,100,100.0
404.0,2.606832298136646,101,101.0
408.0,2.376984126984127,102,102.0
412.0,2.1393065998329157,103,103.0
416.0,2.431044658666142,104,104.0
420.0,2.5914285714285716,105,105.0
424.0,2.5910459910459913,106,106.0
428.0,2.4900809335591942,107,107.0
432.0,2.6123481781376516,108,108.0
