epoch,eval_R2,iteration,model_best_val_score,model_loss,model_val_score,step,train_R2,train_dataset_size,val_dataset_size
0.0,0.7088672518730164,2.0,0.7411878705024719,1.5873193740844727,0.7411878705024719,21,0.005888690706342459,90.0,0.0
1.0,0.7155497670173645,2.0,0.7147751450538635,1.5738763809204102,0.7147751450538635,22,0.03318813443183899,90.0,0.0
2.0,0.7221512198448181,2.0,0.6893230080604553,1.5612200498580933,0.6893230080604553,23,0.05608364939689636,90.0,0.0
3.0,0.7286391854286194,2.0,0.664900541305542,1.5492968559265137,0.664900541305542,24,0.07417049258947372,90.0,0.0
4.0,0.7349836230278015,2.0,0.6415759325027466,1.5380663871765137,0.6415759325027466,25,0.08736976236104965,90.0,0.0
5.0,0.7411598563194275,2.0,0.6194084882736206,1.5274919271469116,0.6194084882736206,26,0.09601754695177078,90.0,0.0
6.0,0.7471513152122498,2.0,0.5984451770782471,1.5175371170043945,0.5984451770782471,27,0.10087758302688599,90.0,0.0
7.0,0.7529473900794983,2.0,0.5787196159362793,1.5081647634506226,0.5787196159362793,28,0.10307259112596512,90.0,0.0
8.0,0.7585451006889343,2.0,0.560249388217926,1.499334454536438,0.560249388217926,29,0.10393642634153366,90.0,0.0
9.0,0.7639473080635071,2.0,0.5430359840393066,1.4910036325454712,0.5430359840393066,30,0.10480842739343643,90.0,0.0
0.0,0.7844655513763428,3.0,0.5015642046928406,1.4414139986038208,0.5015642046928406,31,0.08794919401407242,110.0,0.0
1.0,0.789402186870575,3.0,0.48845580220222473,1.4343007802963257,0.48845580220222473,32,0.09052548557519913,110.0,0.0
2.0,0.794283926486969,3.0,0.4763808250427246,1.4274886846542358,0.4763808250427246,33,0.09485258907079697,110.0,0.0
3.0,0.7991394400596619,3.0,0.46526387333869934,1.4209400415420532,0.46526387333869934,34,0.10077085345983505,110.0,0.0
4.0,0.8040044903755188,3.0,0.45502105355262756,1.4146157503128052,0.45502105355262756,35,0.10786774754524231,110.0,0.0
5.0,0.808922529220581,3.0,0.4455629289150238,1.408473014831543,0.4455629289150238,36,0.11558496952056885,110.0,0.0
6.0,0.813941240310669,3.0,0.4367986023426056,1.4024629592895508,0.4367986023426056,37,0.12333273142576218,110.0,0.0
7.0,0.8191112875938416,3.0,0.42863932251930237,1.3965321779251099,0.42863932251930237,38,0.13058458268642426,110.0,0.0
8.0,0.8244805335998535,3.0,0.42100170254707336,1.3906203508377075,0.42100170254707336,39,0.1369381994009018,110.0,0.0
9.0,0.8300879001617432,3.0,0.41381165385246277,1.3846654891967773,0.41381165385246277,40,0.14213337004184723,110.0,0.0
0.0,0.8083693981170654,4.0,0.5736676454544067,1.463558554649353,0.5736676454544067,41,0.12952706217765808,130.0,0.0
1.0,0.8145947456359863,4.0,0.5658349990844727,1.459077000617981,0.5658349990844727,42,0.13190340995788574,130.0,0.0
2.0,0.8210161328315735,4.0,0.5581729412078857,1.4539307355880737,0.5581729412078857,43,0.13226690888404846,130.0,0.0
3.0,0.8275542259216309,4.0,0.5506721138954163,1.4481035470962524,0.5506721138954163,44,0.13059906661510468,130.0,0.0
4.0,0.8341112732887268,4.0,0.5433287620544434,1.441620945930481,0.5433287620544434,45,0.1268424093723297,130.0,0.0
5.0,0.8405812382698059,4.0,0.5361412167549133,1.4345420598983765,0.5361412167549133,46,0.12098706513643265,130.0,0.0
