env_step,episode_reward,step,trial
4.0,1.0736842105263158,1,1.0
8.0,0.8436363636363636,2,2.0
12.0,0.8917748917748918,3,3.0
16.0,0.75,4,4.0
20.0,0.7916666666666667,5,5.0
24.0,0.037037037037037035,6,6.0
28.0,0.0,7,7.0
32.0,0.0,8,8.0
36.0,0.0,9,9.0
40.0,0.0,10,10.0
44.0,0.2727272727272727,11,11.0
48.0,0.23076923076923078,12,12.0
52.0,0.31978021978021975,13,13.0
56.0,0.5771836007130124,14,14.0
60.0,0.23376623376623376,15,15.0
64.0,0.6547619047619048,16,16.0
68.0,0.6217948717948718,17,17.0
72.0,0.2992424242424242,18,18.0
76.0,0.42167832167832164,19,19.0
80.0,0.8799533799533799,20,20.0
84.0,1.6083333333333334,21,21.0
88.0,0.9571428571428572,22,22.0
92.0,1.8015151515151517,23,23.0
96.0,1.831948051948052,24,24.0
100.0,1.0184453227931487,25,25.0
104.0,1.194327731092437,26,26.0
108.0,0.8333333333333333,27,27.0
112.0,1.2,28,28.0
116.0,0.8839031339031339,29,29.0
120.0,1.202485380116959,30,30.0
124.0,0.4834054834054834,31,31.0
128.0,0.3194444444444444,32,32.0
132.0,0.42391304347826086,33,33.0
136.0,0.2839285714285714,34,34.0
140.0,1.3522727272727273,35,35.0
144.0,0.8333333333333334,36,36.0
148.0,1.6863636363636365,37,37.0
152.0,1.9682539682539681,38,38.0
156.0,0.6680161943319838,39,39.0
160.0,0.9,40,40.0
164.0,1.6217948717948718,41,41.0
168.0,1.9875,42,42.0
172.0,1.8166666666666667,43,43.0
176.0,1.7999999999999998,44,44.0
180.0,1.8636363636363638,45,45.0
184.0,0.9848484848484849,46,46.0
188.0,1.7375,47,47.0
192.0,1.8772727272727274,48,48.0
196.0,1.2458333333333333,49,49.0
200.0,1.7555555555555555,50,50.0
204.0,1.5037957211870254,51,51.0
208.0,1.4619755244755246,52,52.0
212.0,1.8227424749163879,53,53.0
216.0,1.880952380952381,54,54.0
220.0,1.811904761904762,55,55.0
224.0,2.013888888888889,56,56.0
228.0,1.271212121212121,57,57.0
232.0,2.1237373737373737,58,58.0
236.0,2.1070234113712374,59,59.0
240.0,1.9623655913978495,60,60.0
244.0,2.1264822134387353,61,61.0
248.0,0.993968253968254,62,62.0
252.0,2.0872727272727274,63,63.0
256.0,1.8862876254180603,64,64.0
260.0,1.1105769230769231,65,65.0
264.0,2.3566433566433567,66,66.0
268.0,2.009968102073365,67,67.0
272.0,1.8806818181818181,68,68.0
276.0,2.3875,69,69.0
280.0,2.3,70,70.0
284.0,1.9386363636363635,71,71.0
288.0,2.8394455608330285,72,72.0
292.0,2.832791845835324,73,73.0
296.0,2.5666666666666664,74,74.0
300.0,2.9674688057040997,75,75.0
304.0,2.448717948717949,76,76.0
308.0,2.702097902097902,77,77.0
312.0,2.8549242424242425,78,78.0
316.0,3.0484973963234836,79,79.0
320.0,3.134502923976608,80,80.0
324.0,3.1595737595737594,81,81.0
328.0,2.987238567883729,82,82.0
332.0,2.8606442577030813,83,83.0
336.0,1.4622103386809269,84,84.0
340.0,2.984126984126984,85,85.0
344.0,2.684848484848485,86,86.0
348.0,2.3320979020979022,87,87.0
352.0,3.145021645021645,88,88.0
356.0,2.9362990810359233,89,89.0
360.0,2.8314876557910615,90,90.0
364.0,2.855238095238095,91,91.0
368.0,3.306277056277056,92,92.0
372.0,2.7294372294372296,93,93.0
376.0,2.7302277432712216,94,94.0
380.0,3.1174688057040996,95,95.0
384.0,2.7261363636363636,96,96.0
388.0,2.4499999999999997,97,97.0
392.0,2.826210826210826,98,98.0
396.0,3.275384615384616,99,99.0
400.0,3.0476778656126484,100,100.0
404.0,2.9962732919254655,101,101.0
408.0,2.434371184371184,102,102.0
412.0,3.2050960735171263,103,103.0
416.0,3.260279362581153,104,104.0
420.0,2.8403174603174604,105,105.0
424.0,2.8923076923076922,106,106.0
