epoch,eval_R2,iteration,model_best_val_score,model_loss,model_val_score,step,train_R2,train_dataset_size,val_dataset_size
0.0,0.5347945094108582,0.0,3.4953017234802246,4.885008335113525,3.4953017234802246,1,-1.8365938663482666,50.0,0.0
1.0,0.5495120882987976,0.0,3.377664566040039,4.677076816558838,3.377664566040039,2,-1.650822639465332,50.0,0.0
2.0,0.56378573179245,0.0,3.263370990753174,4.483398914337158,3.263370990753174,3,-1.4797271490097046,50.0,0.0
3.0,0.5776101350784302,0.0,3.152560234069824,4.303362846374512,3.152560234069824,4,-1.3226590156555176,50.0,0.0
4.0,0.5909798741340637,0.0,3.04537296295166,4.136350154876709,3.04537296295166,5,-1.1796292066574097,50.0,0.0
5.0,0.6038905382156372,0.0,2.941936731338501,3.9817211627960205,2.941936731338501,6,-1.0501312017440796,50.0,0.0
6.0,0.6163423657417297,0.0,2.8423633575439453,3.8388240337371826,2.8423633575439453,7,-0.9333993196487427,50.0,0.0
7.0,0.6283400654792786,0.0,2.746744394302368,3.7069966793060303,2.746744394302368,8,-0.8284012675285339,50.0,0.0
8.0,0.6398888826370239,0.0,2.6551504135131836,3.5855746269226074,2.6551504135131836,9,-0.7337774038314819,50.0,0.0
9.0,0.6509926319122314,0.0,2.5676305294036865,3.473895788192749,2.5676305294036865,10,-0.6480735540390015,50.0,0.0
0.0,0.6742567420005798,1.0,2.128882646560669,3.2891576290130615,2.128882646560669,11,-1.0017380714416504,70.0,0.0
1.0,0.6834190487861633,1.0,2.0674960613250732,3.205698013305664,2.0674960613250732,12,-0.9196292161941528,70.0,0.0
2.0,0.6927393078804016,1.0,2.009117603302002,3.128255844116211,2.009117603302002,13,-0.8379509449005127,70.0,0.0
3.0,0.7020277976989746,1.0,1.9539361000061035,3.056783676147461,1.9539361000061035,14,-0.7576149702072144,70.0,0.0
4.0,0.7111243009567261,1.0,1.9020429849624634,2.991100311279297,1.9020429849624634,15,-0.679254949092865,70.0,0.0
5.0,0.7199046611785889,1.0,1.8534315824508667,2.930899143218994,1.8534315824508667,16,-0.6034258604049683,70.0,0.0
