env_step,episode_reward,step,trial
4.0,0.9578947368421052,1,1.0
8.0,1.1541258741258742,2,2.0
12.0,1.0337662337662337,3,3.0
16.0,1.1666666666666665,4,4.0
20.0,1.471153846153846,5,5.0
24.0,1.7638888888888888,6,6.0
28.0,1.4786324786324787,7,7.0
32.0,1.7106227106227105,8,8.0
36.0,1.801282051282051,9,9.0
40.0,1.6625,10,10.0
44.0,1.6185897435897436,11,11.0
48.0,1.5811965811965811,12,12.0
52.0,1.7444444444444445,13,13.0
56.0,1.4454545454545453,14,14.0
60.0,1.621212121212121,15,15.0
64.0,1.9880952380952381,16,16.0
68.0,2.2078754578754576,17,17.0
72.0,2.2083333333333335,18,18.0
76.0,2.0293706293706295,19,19.0
80.0,1.3863636363636362,20,20.0
84.0,1.9916666666666667,21,21.0
88.0,2.142857142857143,22,22.0
92.0,1.6590909090909092,23,23.0
96.0,2.14,24,24.0
100.0,2.118840579710145,25,25.0
104.0,2.32967032967033,26,26.0
108.0,1.0703703703703704,27,27.0
112.0,2.090909090909091,28,28.0
116.0,1.553062678062678,29,29.0
120.0,1.6825396825396826,30,30.0
124.0,1.7633477633477634,31,31.0
128.0,2.0972222222222223,32,32.0
132.0,2.105072463768116,33,33.0
136.0,2.158718487394958,34,34.0
140.0,2.090909090909091,35,35.0
144.0,1.9206349206349207,36,36.0
148.0,2.1772727272727272,37,37.0
152.0,2.3386243386243386,38,38.0
156.0,2.0714022819285978,39,39.0
160.0,1.8666666666666667,40,40.0
164.0,2.207051282051282,41,41.0
168.0,2.9259615384615385,42,42.0
172.0,2.283333333333333,43,43.0
176.0,2.25,44,44.0
180.0,2.5136363636363637,45,45.0
184.0,3.1013986013986017,46,46.0
188.0,2.9166666666666665,47,47.0
192.0,3.2045454545454546,48,48.0
196.0,2.5701754385964914,49,49.0
200.0,2.374621212121212,50,50.0
204.0,2.355072463768116,51,51.0
208.0,2.1172785547785544,52,52.0
212.0,2.082961724266072,53,53.0
216.0,2.8606442577030813,54,54.0
220.0,2.5104010025062657,55,55.0
224.0,3.0597572362278243,56,56.0
228.0,2.9071969696969697,57,57.0
232.0,2.951089845826688,58,58.0
236.0,3.0182426269382794,59,59.0
240.0,2.864168247944339,60,60.0
244.0,2.3359683794466406,61,61.0
248.0,2.544295051353875,62,62.0
252.0,2.7174331550802138,63,63.0
256.0,2.2119345185706742,64,64.0
260.0,2.641346153846154,65,65.0
264.0,2.953234265734266,66,66.0
268.0,3.2814522938361947,67,67.0
272.0,3.0568181818181817,68,68.0
276.0,2.0342105263157895,69,69.0
280.0,3.0,70,70.0
284.0,3.1125,71,71.0
288.0,2.208713920350749,72,72.0
292.0,2.9688007644529386,73,73.0
296.0,2.5125,74,74.0
300.0,3.044626941685765,75,75.0
304.0,2.4444444444444446,76,76.0
308.0,3.051048951048951,77,77.0
312.0,2.8299242424242426,78,78.0
316.0,3.184641445511011,79,79.0
320.0,3.0392648287385127,80,80.0
324.0,1.8915084915084914,81,81.0
328.0,2.7043601559730592,82,82.0
332.0,2.1106442577030813,83,83.0
336.0,2.7016042780748664,84,84.0
340.0,2.962759462759463,85,85.0
344.0,3.018181818181818,86,86.0
348.0,2.6843356643356646,87,87.0
352.0,3.2777777777777777,88,88.0
356.0,2.5517961570593153,89,89.0
360.0,2.8314876557910615,90,90.0
364.0,3.0685714285714285,91,91.0
368.0,3.3106060606060606,92,92.0
372.0,2.9746753246753244,93,93.0
376.0,2.3229813664596275,94,94.0
380.0,3.2137254901960786,95,95.0
384.0,2.3625,96,96.0
388.0,2.7944444444444443,97,97.0
392.0,2.834757834757835,98,98.0
396.0,2.8784615384615386,99,99.0
400.0,2.966403162055336,100,100.0
404.0,3.007453416149068,101,101.0
408.0,2.8693528693528694,102,102.0
412.0,2.827903091060986,103,103.0
416.0,2.8123155616761757,104,104.0
420.0,2.56031746031746,105,105.0
424.0,2.7391941391941392,106,106.0
428.0,3.233690946734425,107,107.0
432.0,2.7661943319838054,108,108.0
436.0,2.833333333333333,109,109.0
440.0,2.8351913786696397,110,110.0
444.0,2.738095238095238,111,111.0
448.0,3.235897435897436,112,112.0
452.0,2.7666666666666666,113,113.0
456.0,2.8896358543417366,114,114.0
