env_step,episode_reward,step,trial
4.0,0.9578947368421052,1,1.0
8.0,0.8402797202797203,2,2.0
12.0,1.0337662337662337,3,3.0
16.0,1.4166666666666667,4,4.0
20.0,1.6634615384615383,5,5.0
24.0,1.5324074074074074,6,6.0
28.0,1.534188034188034,7,7.0
32.0,0.047619047619047616,8,8.0
36.0,1.3557692307692308,9,9.0
40.0,1.7125,10,10.0
44.0,0.9134615384615384,11,11.0
48.0,1.5982905982905982,12,12.0
52.0,0.8666666666666667,13,13.0
56.0,1.4454545454545453,14,14.0
60.0,0.6636363636363636,15,15.0
64.0,0.8571428571428571,16,16.0
68.0,1.1062271062271063,17,17.0
72.0,1.0568181818181819,18,18.0
76.0,0.8293706293706293,19,19.0
80.0,0.17424242424242425,20,20.0
84.0,2.1416666666666666,21,21.0
88.0,1.8928571428571428,22,22.0
92.0,1.8924242424242426,23,23.0
96.0,2.065714285714286,24,24.0
100.0,1.9275362318840579,25,25.0
104.0,2.131868131868132,26,26.0
108.0,2.3703703703703702,27,27.0
112.0,2.3636363636363638,28,28.0
116.0,1.9034900284900287,29,29.0
120.0,2.0476190476190474,30,30.0
124.0,2.484848484848485,31,31.0
128.0,1.9916666666666667,32,32.0
132.0,1.855924978687127,33,33.0
136.0,1.7513655462184876,34,34.0
140.0,1.6666666666666665,35,35.0
144.0,2.3968253968253967,36,36.0
148.0,2.1969696969696972,37,37.0
152.0,2.55942205942206,38,38.0
156.0,2.6216047110783953,39,39.0
160.0,1.9066666666666667,40,40.0
164.0,2.557783882783883,41,41.0
168.0,3.3442307692307693,42,42.0
172.0,2.966666666666667,43,43.0
176.0,3.0976190476190477,44,44.0
180.0,3.0022727272727274,45,45.0
184.0,3.4195804195804196,46,46.0
188.0,3.2916666666666665,47,47.0
192.0,3.577272727272727,48,48.0
196.0,3.2285087719298247,49,49.0
200.0,2.3806818181818183,50,50.0
204.0,3.2429261559696343,51,51.0
208.0,3.032488344988345,52,52.0
212.0,2.7917131178000743,53,53.0
216.0,3.0868347338935576,54,54.0
220.0,3.4532581453634084,55,55.0
224.0,3.0597572362278243,56,56.0
228.0,3.0306818181818183,57,57.0
232.0,3.087453482190324,58,58.0
236.0,2.464882943143813,59,59.0
240.0,2.8733080328905753,60,60.0
244.0,2.600790513833992,61,61.0
248.0,2.8071521942110174,62,62.0
252.0,3.0592513368983956,63,63.0
256.0,3.0781552543566275,64,64.0
260.0,2.766346153846154,65,65.0
264.0,3.32736013986014,66,66.0
268.0,3.5685336335491136,67,67.0
272.0,3.2386363636363638,68,68.0
276.0,2.5585526315789475,69,69.0
280.0,3.0,70,70.0
284.0,3.3125,71,71.0
288.0,2.968122031421264,72,72.0
292.0,3.2530817009077877,73,73.0
296.0,3.3375,74,74.0
300.0,3.228673287496817,75,75.0
304.0,2.8333333333333335,76,76.0
308.0,3.051048951048951,77,77.0
312.0,3.184090909090909,78,78.0
316.0,3.492941840767928,79,79.0
320.0,3.2297410192147034,80,80.0
324.0,2.906160506160506,81,81.0
328.0,3.116270825948245,82,82.0
332.0,3.2296918767507004,83,83.0
336.0,3.1076648841354726,84,84.0
340.0,3.200854700854701,85,85.0
344.0,3.275757575757576,86,86.0
348.0,3.0143356643356647,87,87.0
352.0,3.6904761904761902,88,88.0
356.0,3.35296574770259,89,89.0
360.0,3.0727157259665,90,90.0
364.0,3.3552380952380956,91,91.0
368.0,3.5487012987012987,92,92.0
372.0,3.3127705627705626,93,93.0
376.0,3.263561076604555,94,94.0
380.0,3.4174688057041003,95,95.0
384.0,2.959090909090909,96,96.0
388.0,3.0166666666666666,97,97.0
392.0,3.2108262108262107,98,98.0
396.0,3.0384615384615388,99,99.0
400.0,3.278903162055336,100,100.0
404.0,3.007453416149068,101,101.0
408.0,2.5946275946275947,102,102.0
412.0,3.0384294068504594,103,103.0
416.0,2.8123155616761757,104,104.0
420.0,2.68031746031746,105,105.0
424.0,2.5356939356939354,106,106.0
428.0,2.833690946734425,107,107.0
